Country,Date,<OPEN>,<CLOSE>,<VOL>,GDP,GNI (USD),Population,Exchange Rate (AMA)
Poland,2021-05-23,917.391,917.417,38591365.05,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-05-30,922.421,924.9455,44260556.65,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-06-06,936.25125,937.830625,34828826.0,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-06-13,941.9985,941.3004999999999,35528583.7,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-06-20,938.5615,937.0084999999999,34508081.05,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-06-27,936.3765,938.2075000000001,28970547.15,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-07-04,942.4625,942.0345,32752245.5,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-07-11,945.0375,945.0889999999999,24147381.5,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-07-18,943.8709999999999,942.689,27974979.95,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-07-25,930.2864999999999,928.9565,23647773.4,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-08-01,932.4264999999999,932.1825000000001,22509664.55,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-08-08,932.7,933.3190000000001,22417804.35,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-08-15,939.7254999999999,942.0889999999999,23541101.6,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-08-22,939.7205,936.85,29643362.2,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-08-29,939.085,941.1075000000001,36610125.7,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-09-05,948.7045,950.3789999999999,47017523.3,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-09-12,952.906,952.5535,70046424.1,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-09-19,956.234,956.5285,66680758.45,679000000000.0,648000000000.0,38307726.0,3.861916667
Poland,2021-09-26,941.9889999999999,939.2445,32888520.95,679000000000.0,648000000000.0,38307726.0,3.861916667
